LGA_2014,accidents_2014,LGA_2015,accidents_2015,LGA_2016,accidents_2016,LGA_2017,accidents_2017,LGA_2018,accidents_2018
Falls Creek Alpine Resort (Uninc),3,Falls Creek Alpine Resort (Uninc),1,Falls Creek Alpine Resort (Uninc),1,Falls Creek Alpine Resort (Uninc),2,Falls Creek Alpine Resort (Uninc),3
Lake Mountain Alpine Resort (Uninc),1,Lake Mountain Alpine Resort (Uninc),2,Lake Mountain Alpine Resort (Uninc),4,French-Elizabeth-Sandstone Islands (Uninc),1,Lake Mountain Alpine Resort (Uninc),3
Mount Hotham Alpine Resort (Uninc),3,Mount Hotham Alpine Resort (Uninc),1,Mount Hotham Alpine Resort (Uninc),2,Lake Mountain Alpine Resort (Uninc),1,Mount Buller Alpine Resort (Uninc),2
Alpine,51,Mount Buller Alpine Resort (Uninc),4,Mount Buller Alpine Resort (Uninc),2,Mount Buller Alpine Resort (Uninc),1,Mount Hotham Alpine Resort (Uninc),1
Ararat,21,Mount Hotham Alpine Resort (Uninc),5,Mount Hotham Alpine Resort (Uninc),4,Mount Hotham Alpine Resort (Uninc),5,Alpine,30
Ballarat,198,Alpine,52,Alpine,44,Mount Stirling Alpine Resort (Uninc),1,Ararat,21
Banyule,149,Ararat,43,Ararat,30,Alpine,38,Ballarat,173
Bass Coast,60,Ballarat,256,Ballarat,239,Ararat,33,Banyule,147
Baw Baw,153,Banyule,188,Banyule,215,Ballarat,232,Bass Coast,51
Bayside,119,Bass Coast,77,Bass Coast,91,Banyule,191,Baw Baw,100
Benalla,29,Baw Baw,174,Baw Baw,185,Bass Coast,62,Bayside,103
Bendigo,202,Bayside,170,Bayside,190,Baw Baw,139,Benalla,22
Boroondara,286,Benalla,47,Benalla,45,Bayside,184,Bendigo,176
Brimbank,372,Bendigo,309,Bendigo,292,Benalla,39,Boroondara,205
Buloke,16,Boroondara,313,Boroondara,289,Bendigo,253,Brimbank,285
Campaspe,79,Brimbank,445,Brimbank,433,Boroondara,270,Buloke,8
Cardinia,163,Buloke,17,Buloke,21,Brimbank,355,Campaspe,53
Casey,422,Campaspe,90,Campaspe,89,Buloke,17,Cardinia,144
Central Goldfields,23,Cardinia,229,Cardinia,227,Campaspe,90,Casey,383
Colac Otway,73,Casey,607,Casey,627,Cardinia,191,Central Goldfields,20
Corangamite,38,Central Goldfields,22,Central Goldfields,27,Casey,495,Colac Otway,79
Dandenong,375,Colac Otway,91,Colac Otway,100,Central Goldfields,25,Corangamite,29
Darebin,265,Corangamite,47,Corangamite,58,Colac Otway,108,Dandenong,294
East Gippsland,118,Dandenong,505,Dandenong,537,Corangamite,55,Darebin,234
Frankston,208,Darebin,364,Darebin,343,Dandenong,406,East Gippsland,88
Gannawarra,27,East Gippsland,163,East Gippsland,140,Darebin,278,Frankston,156
Geelong,404,Frankston,256,Frankston,240,East Gippsland,128,Gannawarra,23
Glen Eira,228,Gannawarra,27,Gannawarra,20,Frankston,201,Geelong,378
Glenelg,36,Geelong,487,Geelong,536,Gannawarra,21,Glen Eira,198
Golden Plains,42,Glen Eira,268,Glen Eira,297,Geelong,506,Glenelg,34
Hepburn,33,Glenelg,60,Glenelg,42,Glen Eira,260,Golden Plains,49
Hindmarsh,11,Golden Plains,59,Golden Plains,75,Glenelg,37,Hepburn,41
Hobsons Bay,165,Hepburn,42,Hepburn,54,Golden Plains,67,Hindmarsh,10
Horsham,46,Hindmarsh,14,Hindmarsh,11,Hepburn,43,Hobsons Bay,121
Hume,340,Hobsons Bay,218,Hobsons Bay,181,Hindmarsh,9,Horsham,29
Indigo,40,Horsham,47,Horsham,39,Hobsons Bay,157,Hume,320
Kingston,290,Hume,445,Hume,481,Horsham,32,Indigo,25
Knox,198,Indigo,53,Indigo,52,Hume,380,Kingston,224
Latrobe,124,Kingston,344,Kingston,316,Indigo,43,Knox,171
Loddon,29,Knox,313,Knox,309,Kingston,307,Latrobe,107
Macedon Ranges,85,Latrobe,145,Latrobe,179,Knox,265,Loddon,13
Manningham,128,Loddon,29,Loddon,25,Latrobe,130,Macedon Ranges,73
